team,season,position_group,total_cap_allocated
ARI,2016,CB_S,47.164287
ARI,2016,DL,25.541978999999998
ARI,2016,LB,6.883084
ARI,2016,OL,27.28953
ARI,2016,QB,25.315
ARI,2016,RB,3.301091
ARI,2016,ST,4.038
ARI,2016,TE,6.095825
ARI,2016,WR,15.493175
ARI,2017,CB_S,41.372422
ARI,2017,DL,13.267494
ARI,2017,LB,10.192540000000001
ARI,2017,OL,28.016685000000003
ARI,2017,QB,27.2274
ARI,2017,RB,7.345287
ARI,2017,ST,8.2375
ARI,2017,TE,10.600625
ARI,2017,WR,17.512047
ARI,2018,CB_S,33.790741
ARI,2018,DL,32.143043
ARI,2018,LB,10.995940000000001
ARI,2018,OL,26.971332
ARI,2018,QB,28.52864
ARI,2018,RB,17.553576
ARI,2018,ST,6.1667000000000005
ARI,2018,TE,10.2516
ARI,2018,WR,20.961408
ARI,2019,CB_S,34.26614
ARI,2019,DL,20.601633
ARI,2019,LB,9.958
ARI,2019,OL,32.406618
ARI,2019,QB,11.251994
ARI,2019,RB,16.959404
ARI,2019,ST,3.3027
ARI,2019,TE,4.109999999999999
ARI,2019,WR,23.262409
ARI,2020,CB_S,49.16578
ARI,2020,DL,24.781836
ARI,2020,LB,27.090771
ARI,2020,OL,39.564858
ARI,2020,QB,10.437161
ARI,2020,RB,11.649851
ARI,2020,ST,5.7486
ARI,2020,TE,7.5929660000000005
ARI,2020,WR,43.922048000000004
ARI,2021,CB_S,32.994715
ARI,2021,DL,32.37543
ARI,2021,LB,20.783614
ARI,2021,OL,43.788744
ARI,2021,QB,10.167761
ARI,2021,RB,4.188118
ARI,2021,ST,4.75
ARI,2021,TE,13.462866
ARI,2021,WR,40.009851
ARI,2022,CB_S,38.783523
ARI,2022,DL,23.353879
ARI,2022,LB,11.898014
ARI,2022,OL,47.615034
ARI,2022,QB,53.15
ARI,2022,RB,10.180147
ARI,2022,ST,6.7137
ARI,2022,TE,15.860081000000001
ARI,2022,WR,42.485599
ARI,2023,CB_S,38.292083
ARI,2023,DL,10.101866999999999
ARI,2023,LB,10.588412
ARI,2023,OL,38.36256
ARI,2023,QB,50.397656000000005
ARI,2023,RB,11.784973
ARI,2023,ST,7.9581669999999995
ARI,2023,TE,6.045915
ARI,2023,WR,14.014598
ARI,2024,CB_S,53.209758
ARI,2024,DL,30.715732
ARI,2024,LB,19.896145
ARI,2024,OL,28.865224
ARI,2024,QB,47.147656
ARI,2024,RB,16.186346
ARI,2024,ST,8.4499
ARI,2024,TE,4.258393
ARI,2024,WR,19.851885
ARZ,2013,CB_S,13.499915
ARZ,2013,DL,23.168328
ARZ,2013,LB,11.866325
ARZ,2013,OL,17.148167
ARZ,2013,QB,10.301327
ARZ,2013,RB,4.907949
ARZ,2013,TE,1.013273
ARZ,2013,WR,20.738957
ARZ,2014,CB_S,25.362548
ARZ,2014,DL,17.147908
ARZ,2014,LB,2.099908
ARZ,2014,OL,17.295561
ARZ,2014,QB,18.520123
ARZ,2014,RB,2.4581910000000002
ARZ,2014,ST,1.9855
ARZ,2014,TE,3.982098
ARZ,2014,WR,24.548882
ARZ,2015,CB_S,26.976492
ARZ,2015,DL,18.883931
ARZ,2015,LB,5.437575
ARZ,2015,OL,25.299839
ARZ,2015,QB,18.434882
ARZ,2015,RB,3.3293090000000003
ARZ,2015,ST,1.5605
ARZ,2015,TE,5.2258249999999995
ARZ,2015,WR,16.278475
ATL,2013,CB_S,18.328155
ATL,2013,DL,18.028563
ATL,2013,LB,7.475142
ATL,2013,OL,15.867012
ATL,2013,QB,20.75
ATL,2013,RB,5.653798
ATL,2013,ST,3.2089499999999997
ATL,2013,TE,7.615146
ATL,2013,WR,15.714938
ATL,2014,CB_S,13.239723
ATL,2014,DL,27.015549
ATL,2014,LB,1.5757880000000002
ATL,2014,OL,20.908592
ATL,2014,QB,21.857724
ATL,2014,RB,5.335856
ATL,2014,ST,6.45125
ATL,2014,TE,0.615146
ATL,2014,WR,16.170938
ATL,2015,CB_S,14.037632
ATL,2015,DL,21.930195
ATL,2015,LB,6.340667
ATL,2015,OL,16.998315
ATL,2015,QB,21.301474
ATL,2015,RB,2.228449
ATL,2015,ST,6.609583
ATL,2015,TE,3.545146
ATL,2015,WR,23.955205
ATL,2016,CB_S,23.185536
ATL,2016,DL,29.670723000000002
ATL,2016,LB,13.504099
ATL,2016,OL,31.98797
ATL,2016,QB,23.051474
ATL,2016,RB,4.233449
ATL,2016,ST,7.594583
ATL,2016,TE,4.763654
ATL,2016,WR,24.428651
ATL,2017,CB_S,35.445437
ATL,2017,DL,32.724147
ATL,2017,LB,9.636037
ATL,2017,OL,28.174768
ATL,2017,QB,26.0874
ATL,2017,RB,11.502243
ATL,2017,ST,6.609583
ATL,2017,TE,6.466825
ATL,2017,WR,29.236851
ATL,2018,CB_S,44.414395
ATL,2018,DL,19.567601
ATL,2018,LB,5.39063
ATL,2018,OL,42.140651
ATL,2018,QB,34.573333000000005
ATL,2018,RB,13.522226999999999
ATL,2018,ST,9.919083
ATL,2018,TE,3.8965579999999997
ATL,2018,WR,27.58027
ATL,2019,CB_S,34.936784
ATL,2019,DL,37.017036
ATL,2019,LB,19.224882
ATL,2019,OL,50.29922
ATL,2019,QB,33.211
ATL,2019,RB,11.693309
ATL,2019,ST,10.250417
ATL,2019,TE,6.041842
ATL,2019,WR,28.662398
ATL,2020,CB_S,22.632505
ATL,2020,DL,41.189074
ATL,2020,LB,17.711928
ATL,2020,OL,41.700152
ATL,2020,QB,32.705282
ATL,2020,RB,11.469742
ATL,2020,ST,5.449735
ATL,2020,TE,5.625675
ATL,2020,WR,29.442631
ATL,2021,CB_S,16.466226
ATL,2021,DL,26.689585
ATL,2021,LB,19.614394
ATL,2021,OL,32.121436
ATL,2021,QB,32.738333
ATL,2021,RB,4.5725549999999995
ATL,2021,ST,3.2356
ATL,2021,TE,15.271065
ATL,2021,WR,10.671788
ATL,2022,CB_S,24.068642999999998
ATL,2022,DL,29.133081
ATL,2022,LB,7.178165
ATL,2022,OL,34.853021
ATL,2022,QB,11.668241
ATL,2022,RB,10.458843
ATL,2022,ST,9.734
