team,season,wins,games,point_diff
ARI,2013,10,16,55.0
ARI,2014,11,17,0.0
ARI,2015,14,18,148.0
ARI,2016,7,16,56.0
ARI,2017,8,16,-66.0
ARI,2018,3,16,-200.0
ARI,2019,5,16,-81.0
ARI,2020,8,16,43.0
ARI,2021,11,18,60.0
ARI,2022,4,17,-109.0
ARI,2023,4,17,-125.0
ARI,2024,8,17,21.0
ATL,2013,4,16,-90.0
ATL,2014,6,16,-36.0
ATL,2015,8,16,-6.0
ATL,2016,13,19,167.0
ATL,2017,11,18,46.0
ATL,2018,7,16,-9.0
ATL,2019,7,16,-18.0
ATL,2020,4,16,-18.0
ATL,2021,7,17,-146.0
ATL,2022,7,17,-21.0
ATL,2023,7,17,-52.0
ATL,2024,8,17,-34.0
BAL,2013,8,16,-32.0
BAL,2014,11,18,116.0
BAL,2015,5,16,-73.0
BAL,2016,8,16,22.0
BAL,2017,9,16,92.0
BAL,2018,10,17,96.0
BAL,2019,14,17,233.0
BAL,2020,12,18,158.0
BAL,2021,8,17,-5.0
BAL,2022,10,18,28.0
BAL,2023,14,19,220.0
BAL,2024,13,19,169.0
BUF,2013,6,16,-49.0
BUF,2014,9,16,54.0
BUF,2015,8,16,20.0
BUF,2016,7,16,21.0
BUF,2017,9,17,-64.0
BUF,2018,6,16,-105.0
BUF,2019,10,17,52.0
BUF,2020,15,19,129.0
BUF,2021,12,19,218.0
BUF,2022,14,18,155.0
BUF,2023,12,19,151.0
BUF,2024,15,20,180.0
CAR,2013,12,17,112.0
CAR,2014,8,18,-38.0
CAR,2015,17,19,219.0
CAR,2016,6,16,-33.0
CAR,2017,11,17,31.0
CAR,2018,7,16,-6.0
CAR,2019,5,16,-130.0
CAR,2020,5,16,-52.0
CAR,2021,5,17,-100.0
CAR,2022,7,17,-27.0
CAR,2023,2,17,-180.0
CAR,2024,5,17,-193.0
CHI,2013,8,16,-33.0
CHI,2014,5,16,-123.0
CHI,2015,6,16,-62.0
CHI,2016,3,16,-120.0
CHI,2017,5,16,-56.0
CHI,2018,12,17,137.0
CHI,2019,8,16,-18.0
CHI,2020,8,17,-10.0
CHI,2021,6,17,-96.0
CHI,2022,3,17,-137.0
CHI,2023,7,17,-19.0
CHI,2024,5,17,-60.0
CIN,2013,11,17,108.0
CIN,2014,10,17,5.0
CIN,2015,12,17,138.0
CIN,2016,6,16,10.0
CIN,2017,7,16,-59.0
CIN,2018,6,16,-87.0
CIN,2019,2,16,-141.0
CIN,2020,4,16,-113.0
CIN,2021,13,21,94.0
CIN,2022,14,19,117.0
CIN,2023,9,17,-18.0
CIN,2024,9,17,38.0
CLE,2013,4,16,-98.0
CLE,2014,7,16,-38.0
CLE,2015,3,16,-154.0
CLE,2016,1,16,-188.0
CLE,2017,0,16,-176.0
CLE,2018,7,16,-33.0
CLE,2019,6,16,-58.0
CLE,2020,12,18,-5.0
CLE,2021,8,17,-22.0
CLE,2022,7,17,-20.0
CLE,2023,11,18,3.0
CLE,2024,3,17,-177.0
DAL,2013,8,16,7.0
DAL,2014,13,18,114.0
DAL,2015,4,16,-99.0
DAL,2016,13,17,112.0
DAL,2017,9,16,22.0
DAL,2018,11,18,9.0
DAL,2019,8,16,113.0
DAL,2020,6,16,-78.0
DAL,2021,12,18,166.0
DAL,2022,13,19,135.0
DAL,2023,12,18,178.0
DAL,2024,7,17,-118.0
DEN,2013,15,19,189.0
DEN,2014,12,17,117.0
DEN,2015,15,19,82.0
DEN,2016,9,16,36.0
DEN,2017,5,16,-93.0
DEN,2018,6,16,-20.0
DEN,2019,7,16,-34.0
DEN,2020,5,16,-123.0
DEN,2021,7,17,13.0
DEN,2022,5,17,-72.0
DEN,2023,8,17,-56.0
DEN,2024,10,18,90.0
DET,2013,7,16,19.0
DET,2014,11,17,35.0
DET,2015,7,16,-42.0
DET,2016,9,17,-32.0
DET,2017,9,16,34.0
DET,2018,6,16,-36.0
DET,2019,3,16,-82.0
DET,2020,5,16,-142.0
DET,2021,3,17,-142.0
DET,2022,9,17,26.0
DET,2023,14,20,72.0
DET,2024,15,18,208.0
GB,2013,8,17,-14.0
GB,2014,13,18,137.0
GB,2015,11,18,56.0
GB,2016,12,19,49.0
GB,2017,7,16,-64.0
GB,2018,6,16,-24.0
GB,2019,14,18,51.0
GB,2020,14,18,149.0
GB,2021,13,18,76.0
GB,2022,8,17,-1.0
GB,2023,10,19,46.0
GB,2024,11,18,110.0
HOU,2013,2,16,-152.0
HOU,2014,9,16,65.0
HOU,2015,9,17,-4.0
HOU,2016,10,18,-54.0
HOU,2017,4,16,-98.0
HOU,2018,11,17,72.0
HOU,2019,11,18,-24.0
HOU,2020,4,16,-80.0
HOU,2021,4,17,-172.0
HOU,2022,3,17,-131.0
HOU,2023,11,19,31.0
HOU,2024,11,19,11.0
IND,2013,12,18,35.0
IND,2014,13,19,78.0
IND,2015,8,16,-75.0
